订单ID,商品名称,类别,数量,单价,销售日期,客户年龄,城市
D1001,矿泉水,饮料,2,2.50,2025-01-03,24,北京
D1002,可乐,饮料,1,3.50,2025-01-03,31,上海
D1003,薯片,零食,3,6.80,2025-01-04,,广州
D1004,洗手液,日用品,1,12.90,2025-01-04,45,北京
D1005,面包,零食,2,8.00,2025-01-05,28,深圳
D1006,橙汁,饮料,4,5.50,2025-01-05,19,北京
D1007,牙膏,日用品,2,9.90,2025-01-06,220,上海
D1008,巧克力,零食,5,15.80,2025-01-06,33,广州
D1009,矿泉水,饮料,2,2.50,2025-01-07,24,北京
D1010,洗发水,日用品,1,"1,299.00",2025-01-07,38,深圳
D1011,饼干,零食,3,,2025-01-08,52,北京
D1012,绿茶,饮料,6,4.20,2025-01-08,27,上海
D1013,毛巾,日用品,2,18.50,2025/1/9,41,广州
D1014,薯片,零食,3,6.80,2025-01-09,,广州
D1015,牛奶,饮料,2,12.00,2025-01-10,35,北京
D1016,香皂,日用品,4,4.50,2025-01-10,29,成都
D1017,坚果,零食,1,22.00,2025-01-11,48,深圳
D1018,可乐,饮料,12,-3.50,2025-01-11,31,上海
D1019,抽纸,日用品,10,2.90,2025-01-12,36,北京
D1020,橙汁,饮料,9999,5.50,2025-01-12,22,广州
D1021,蛋糕,零食,2,16.80,2025-01-13,26,上海
D1009,矿泉水,饮料,2,2.50,2025-01-07,24,北京
D1023,牙膏,日用品,1,9.90,2025-01-14,45,深圳
D1024,方便面,零食,6,4.80,2025-01-14,30,成都
D1025,酸奶,饮料,3,8.50,2025-01-15,23,北京
D1026,洗面奶,日用品,1,25.00,2025-01-15,39,上海
D1027,口香糖,零食,5,7.50,2025-01-16,21,广州
D1028,红茶,饮料,2,3.80,2025/1/16,55,深圳
D1029,肥皂,日用品,3,3.20,2025-01-17,42,北京
D1030,辣条,零食,4,5.00,2025-01-17,18,成都
D1031,矿泉水,饮料,2,2.50,2025-01-18,24, 北京
D1032,咖啡,饮料,1,28.00,2025-01-18,34,上海
D1019,抽纸,日用品,10,2.90,2025-01-12,36,北京
D1034,果汁,饮料,2,6.50,2025-01-19,44,广州
